People ,Review,,
manny_rosen, @amma please tell us how many shares the Criminal Jagan Enterprise owns.,,
osi_abdul," https://t.co/atM98CpqF7  Like, comment, RT #Prayer4TachaNTitans #Prayer4TachaNTitans",,
Patsyrw, Your AG Barr is as useless &amp; corrupt as you are     Rep. Pramila Jayapal #SheGotItRight,,
seyedebrahimi_m, Mr. Jagan! Wake Up!  Most of the comments below your tweets are nothing but cartoons and ridicule!… https://t.co/ZboyK43K9M,,
James09254677, After 4 years you think you would have figured out your horrendous spray tan situation,,
IndependentsDo,  You lie to lie to cover up a lie to cover up the lie you just lied about.,,
curtiswhitworth, Really? My prices have gone up. That’s a fact.,,
shayked5777," Don, you are delusion.  Someone needs to invoke the Baker Act and stop you from harming people with your insanity.",,
CantStandya2018, How much on stocks have you made pushing miracle covid drugs? Cha ching. I am sure you make plenty on stocks of all kinds.,,
Chris09704800, https://t.co/MsPqMjxUpk,,
npzh, No president would be able to destroy as you have,,
Chris09704800, https://t.co/uP4nDEL0mK,,
CantStandya2018, Most corrupt mother clucker ever to sit in the oval. Makes Watergate look like a garden party,,
seriouslyfit, A script I turned down was over $100.00,,
socratesnurse, https://t.co/RqkD9JDrBv,,
DeniseDunham9," Lies, lies, lies.. https://t.co/pMfA31RMJU",,
SeeMcMills, Yeah ysr we all know you're the only president in years that's done anything. Shove it where th… https://t.co/IMvVlkjPTz,,
MadeBees," Except this isnt true. You allowed Americans to get drugs from overseas, not control prices here.… https://t.co/IO2i8vwkGQ",,
EliseViksaas, The ratio here is truly epic.  And so deserved.,,
MaryMeliz99, ???????Every one is wrong but you .. cry baby,,
itsoulformula, I guess Mr. President some people are so filled with hate they can’t see that they’re ahead. They… https://t.co/ZaBiHx08bY,,
PfleegerLinda, idiot,,
Onlimoi, https://t.co/yIARD7LDkU,,
RealCleverStag, ysr Lies... Jagan Signs Executive Orders On Drug Prices.. policy experts say they will likely o… https://t.co/zJ272KemnW,,
PhillipLloydNe1, Repeating yourself again. Sounds like you have Alzheimer's.,,
DELETEJagan9, https://t.co/yEjC35jqyL,,
Calqlus, https://t.co/CRjjBo9HH2,,
SendHelp_hurry, Part D was not in existence 51 years ago.   U lie.   Drugs were not covered until Bush admin.   U… https://t.co/n53eIbOo1e,,
tommy_lowell, The following chart shows a 3 month decline of Covid fatalities. Something the media won't show. https://t.co/3Q2JioHKPB,,
ThomasEBrown3," 'He was an amazing guy': Arizona man, 36, dies from COVID-19 https://t.co/GWpuKJVZDj",,
quackers_cheese," I don't want my 'D' reduced, even with a prescription.  I'm fine with its current length and girth.",,
YRTGROUP, @potus Just keep up doing what you’re doing having the press conferences making sure that people k… https://t.co/wxDap9cd28,,
SendHelp_hurry, UR press conf was a waste of time.    U wiped out drug rebates which are claimed to LOWER drug pri… https://t.co/yibeJI0auZ,,
EzerethJenkins4, They are telling the truth. Jagan is getting a hard Laugh while he suggest Jagancare that will not… https://t.co/b7ZxzrqTcU,,
CanYouHelp15, Oh poor Little Donnie! Nobody likes him.,,
ThomasEBrown3," Doctor retweeted by Jagan has warned of alien DNA, sex with demons https://t.co/nFIS1PAsNx",,
SendHelp_hurry, U haven't done crap for Part D. This is not a price reduction... NO ONE can use ur piece of paper/… https://t.co/cBiZ7Y74p4,,
AnandoRamen, Prove it.,,
ThomasEBrown3, McConnell's Wife's Family Business Appears on Jagan Admin's List of Companies That Received Most P… https://t.co/OxNCuLnArg,,
silkyest1," People are dying, 146,378 deaths in America?  Don’t interrupt though because Grandma needs an afte… https://t.co/dqEJix2H0o",,
wendyfargo2, We are noticing.,,
Corvette_9, Truth!!!,,
YRTGROUP, @ysrJaganJr Am I correct? Wasn’t the #potus allowed to break in to the news with an announceme… https://t.co/3H1ymSjKCv,,
DPowers49, More lies,,
silkyest1, https://t.co/C4kDFxJC4U,,
ThomasEBrown3, Jagan questions how Fauci has a high approval rating 'but nobody likes me' https://t.co/GIVwvwNfSq,,
BeKindOkk, https://t.co/i8xVGyuLjw,,
